filename,xmin,ymin,xmax,ymax,class
page_IEKHL_MSFO_23Q4.pdf_74.png,238,197,1280,854,table
page_INKCP_MSFO_23Q4.pdf_29.png,1535,350,231,1779,table
page_BINGR_MSFO_23Q4.pdf_35.png,1498,788,258,934,table
page_ATENC_MSFO_24Q1.pdf_4.png,1415,326,236,1415,table
page_TRFMN_MSFO_24Q1.pdf_31.png,1537,912,209,1275,table
page_SETGL_MSFO_23Q4.pdf_40.png,1472,1469,207,1651,table
page_PRKLK_MSFO_23Q4.pdf_41.png,1533,1505,195,1207,table
page_RFBIN_MSFO_23Q3.pdf_19.png,1446,737,207,1235,table
page_POCHR_MSFO_23Q4.pdf_71.png,1538,1304,193,698,table
page_PTRIN_MSFO_23Q4.pdf_23.png,1504,875,285,489,table
page_OPRFI_MSFO_23Q4.pdf_19.png,1524,1545,236,817,table
page_SPINL_MSFO_23Q4.pdf_40.png,1547,1093,271,601,table
page_NOVTR_MSFO_23Q4.pdf_31.png,1543,942,233,1398,table
page_IEKHL_MSFO_23Q4.pdf_51.png,1441,2110,167,1469,table
page_IIBNK_MSFO_23Q4.pdf_42.png,1525,1456,207,1189,table
page_YUVLT_MSFO_23Q4.pdf_31.png,1518,1303,285,840,table
page_FCKCO_MSFO_23Q3.pdf_37.png,1526,1198,193,972,table
page_PRSLK_MSFO_23Q4.pdf_39.png,262,348,1538,804,table
page_REKOP_MSFO_23Q4.pdf_22.png,171,1983,1417,1503,table
page_BRSDD_MSFO_23Q4.pdf_37.png,1442,345,212,659,table
page_RODEL_MSFO_23Q4.pdf_43.png,1528,1493,219,1693,table
page_FCKCO_MSFO_23Q3.pdf_36.png,1518,1976,191,1656,table
page_DOMRF_MSFO_24Q1.pdf_38.png,1539,397,208,1224,table
page_SETGL_MSFO_23Q4.pdf_38.png,1478,1315,223,617,table
page_ARAGN_MSFO_23Q4.pdf_33.png,208,407,1556,279,table
page_DELPT_MSFO_23Q4.pdf_52.png,1523,1551,148,1779,table
page_BCSPL_MSFO_23Q4.pdf_41.png,1535,1226,205,1012,table
page_DOMRB_MSFO_23Q3.pdf_28.png,1533,1177,209,873,table
page_GTLKA_MSFO_23Q4.pdf_85.png,1536,1267,249,257,table
page_KRMNI_MSFO_23Q4.pdf_24.png,1507,2206,214,1567,table
page_ELSTR_MSFO_23Q4.pdf_50.png,158,1063,1504,1416,table
page_ELSTR_MSFO_23Q4.pdf_50.png,145,1582,1502,1982,table
page_SKBFK_MSFO_23Q4.pdf_23.png,1516,1877,213,1597,table
page_CPPCO_MSFO_23Q4.pdf_40.png,1489,918,167,275,table
page_ARZPR_MSFO_23Q4.pdf_37.png,1412,1538,223,1403,table
page_TRKON_MSFO_24Q1.pdf_20.png,1514,1113,189,776,table
page_DELPT_MSFO_23Q4.pdf_39.png,1514,1323,136,1066,table
page_ATENC_MSFO_23Q4.pdf_105.png,1423,1483,214,1779,table
page_TLFNS_MSFO_23Q4.pdf_9.png,1535,802,198,279,table
page_DOMRF_MSFO_24Q1.pdf_29.png,1530,2085,209,1723,table
page_CPPCO_MSFO_23Q4.pdf_40.png,1486,1537,163,1173,table
page_LIMEZ_MSFO_23Q4.pdf_29.png,265,1372,1486,1121,table
page_OHTGR_MSFO_23Q4.pdf_36.png,1499,1193,226,960,table
page_AVBAN_MSFO_23Q4.pdf_4.png,1493,999,244,411,table
page_RUSBR_MSFO_23Q4.pdf_36.png,1524,1779,210,1185,table
page_RODEL_MSFO_23Q4.pdf_37.png,255,343,1556,699,table
page_ARAGN_MSFO_23Q4.pdf_34.png,1517,571,205,272,table
page_BINGR_MSFO_23Q4.pdf_37.png,1503,982,259,733,table
page_AVAGR_MSFO_23Q4.pdf_10.png,1458,1746,228,254,table
page_PKPKB_MSFO_23Q4.pdf_34.png,1455,1164,223,1663,table
page_SELTL_MSFO_23Q3.pdf_21.png,1508,881,257,1273,table
page_DOMRB_MSFO_23Q3.pdf_25.png,1530,661,209,440,table
page_TRFMN_MSFO_24Q1.pdf_22.png,1532,1535,207,1189,table
page_PRAVO_MSFO_23Q4.pdf_25.png,1533,787,154,251,table
page_SFOSR_MSFO_23Q4.pdf_17.png,1449,1100,204,845,table
page_SELTL_MSFO_23Q4.pdf_59.png,1502,890,252,1266,table
page_FCKCO_MSFO_23Q3.pdf_37.png,1538,1968,189,1771,table
page_ATENC_MSFO_23Q3.pdf_35.png,1404,305,217,1923,table
page_ZASLO_MSFO_23Q4.pdf_4.png,1393,1766,220,1491,table
page_BALIZ_MSFO_23Q4.pdf_43.png,1541,953,243,1315,table
page_IDCOL_MSFO_23Q4.pdf_20.png,1401,1706,119,1366,table
page_TRKON_MSFO_24Q1.pdf_20.png,1514,686,183,374,table
page_METAL_MSFO_23Q4.pdf_47.png,1516,630,196,335,table
page_ARAGN_MSFO_23Q4.pdf_32.png,1526,1677,193,1554,table
page_SELTL_MSFO_23Q3.pdf_13.png,259,778,1510,1672,table
page_CHTPZ_MSFO_23Q4.pdf_9.png,192,363,1585,1694,table
page_TRFMN_MSFO_24Q1.pdf_25.png,1526,1748,210,1526,table
page_ZASLO_MSFO_23Q4.pdf_36.png,1448,448,242,251,table
page_ELSTR_MSFO_23Q4.pdf_45.png,188,225,1484,628,table
page_ATENC_MSFO_23Q3.pdf_11.png,1393,928,224,392,table
page_SETGL_MSFO_23Q4.pdf_52.png,1481,1463,223,1321,table
page_SETGL_MSFO_23Q4.pdf_51.png,1473,659,215,294,table
page_SKBFK_MSFO_23Q4.pdf_4.png,1497,1042,207,330,table
page_NPFOO_MSFO_23Q4.pdf_20.png,1411,1890,220,2054,table
page_ASTDN_MSFO_23Q4.pdf_36.png,1496,315,257,1014,table
page_ATENC_MSFO_23Q4.pdf_90.png,1436,830,212,1200,table
page_LIZTR_MSFO_23Q4.pdf_7.png,1435,1054,289,280,table
page_PRKNT_MSFO_23Q4.pdf_27.png,1543,616,154,1089,table
page_ATENC_MSFO_23Q4.pdf_64.png,2069,328,193,1018,table
page_PKPKB_MSFO_23Q4.pdf_50.png,1456,1121,214,1477,table
page_APRIO_MSFO_24Q1.pdf_11.png,1563,1573,130,2143,table
page_DOMRB_MSFO_24Q1.pdf_5.png,1529,377,213,787,table
page_LIZTR_MSFO_23Q4.pdf_56.png,1449,358,208,1361,table
page_GTSNB_MSFO_23Q4.pdf_27.png,1468,1160,219,992,table
page_BSKSC_MSFO_23Q4.pdf_30.png,1516,1377,268,1100,table
page_DOMRF_MSFO_23Q4.pdf_32.png,1531,985,211,628,table
page_TATNF_MSFO_23Q4.pdf_36.png,1109,1588,35,1273,table
page_BSKSC_MSFO_23Q4.pdf_37.png,270,457,1531,920,table
page_ROSAD_MSFO_23Q4.pdf_30.png,1519,813,207,521,table
page_GLORX_MSFO_23Q4.pdf_11.png,1505,328,195,1953,table
page_TRCKO_MSFO_23Q4.pdf_45.png,1554,1792,210,1563,table
page_PKPKB_MSFO_23Q4.pdf_67.png,1431,1412,223,2109,table
page_MAXTL_MSFO_23Q4.pdf_38.png,1514,955,251,735,table
page_JKHSY_MSFO_23Q4.pdf_33.png,1518,1193,231,1900,table
page_RESOL_MSFO_23Q4.pdf_51.png,1485,1701,242,1378,table
page_BRSDD_MSFO_23Q4.pdf_19.png,1440,783,210,286,table
page_GMSRV_MSFO_23Q4.pdf_56.png,227,553,1561,856,table
page_BINGR_MSFO_23Q4.pdf_58.png,1507,1539,253,1158,table
page_ATENC_MSFO_23Q3.pdf_52.png,1428,965,214,1383,table
page_OHTGR_MSFO_23Q4.pdf_40.png,1493,1364,222,1147,table
page_PRSLK_MSFO_23Q4.pdf_31.png,1539,1772,266,1424,table
page_RSGEO_MSFO_23Q4.pdf_52.png,1492,2049,195,2199,table
page_EVBRZ_MSFO_23Q4.pdf_57.png,1497,1720,191,1277,table
page_TRKHD_MSFO_23Q4.pdf_48.png,174,391,1542,1351,table
page_NPFOO_MSFO_23Q4.pdf_12.png,1528,1729,235,439,table
page_IIBNK_MSFO_23Q4.pdf_41.png,1504,1331,209,1150,table
page_CPPCO_MSFO_23Q4.pdf_31.png,1486,1183,165,893,table
page_LIMEZ_MSFO_23Q4.pdf_7.png,1497,1460,290,351,table
page_PRGRD_MSFO_23Q4.pdf_16.png,1515,270,241,796,table
page_YUVLT_MSFO_23Q4.pdf_37.png,1533,2146,278,1728,table
page_DOMRF_MSFO_23Q4.pdf_81.png,2212,661,211,358,table
page_CEEFP_MSFO_23Q4.pdf_27.png,1522,639,316,325,table
page_TRFMN_MSFO_24Q1.pdf_22.png,1528,1999,207,1663,table
page_PMINT_MSFO_23Q4.pdf_45.png,1481,1623,217,1189,table
page_POCHR_MSFO_23Q4.pdf_51.png,191,413,1547,762,table
page_SELTL_MSFO_23Q3.pdf_29.png,1506,451,257,725,table
page_EVBRZ_MSFO_23Q4.pdf_43.png,1536,994,187,1335,table
page_RESOL_MSFO_23Q4.pdf_32.png,1486,2212,244,1491,table
page_DOMRF_MSFO_24Q1.pdf_30.png,1525,528,208,308,table
page_LIZTR_MSFO_23Q4.pdf_82.png,1388,1384,223,1143,table
page_CEEFP_MSFO_23Q4.pdf_30.png,1509,1430,296,1089,table
page_ERTHO_MSFO_23Q4.pdf_56.png,2127,1107,213,429,table
page_SFOSR_MSFO_23Q4.pdf_9.png,1527,1387,115,255,table
page_INKCP_MSFO_23Q4.pdf_39.png,1541,1040,240,772,table
page_LIZTR_MSFO_23Q4.pdf_72.png,1398,1077,214,511,table
page_BRSDD_MSFO_23Q4.pdf_24.png,1429,773,228,571,table
page_SGTRN_MSFO_23Q4.pdf_14.png,1501,1361,257,1612,table
page_RUSBR_MSFO_23Q4.pdf_26.png,1522,1345,210,1183,table
page_URALK_MSFO_23Q4.pdf_28.png,1535,1367,231,1156,table
page_METAL_MSFO_23Q4.pdf_33.png,199,367,1522,641,table
page_GKPIN_MSFO_23Q4.pdf_20.png,1495,988,210,307,table
page_ATENC_MSFO_23Q4.pdf_14.png,2227,337,66,937,table
page_IEKHL_MSFO_23Q4.pdf_48.png,1211,508,239,197,table
page_ASPDK_MSFO_23Q4.pdf_37.png,1495,320,156,1251,table
page_SLVNF_MSFO_23Q3.pdf_15.png,1528,546,187,1132,table
page_AVBAN_MSFO_23Q4.pdf_9.png,1501,894,230,1256,table
page_GTLKA_MSFO_23Q4.pdf_97.png,1565,622,247,251,table
page_TRFMN_MSFO_24Q1.pdf_21.png,1532,2062,204,1874,table
page_PKPKB_MSFO_23Q4.pdf_56.png,1464,2171,212,1674,table
page_SNTRM_MSFO_23Q4.pdf_37.png,1533,1076,114,1393,table
page_VISAO_MSFO_23Q4.pdf_11.png,1519,276,162,2189,table
page_SKBFK_MSFO_23Q4.pdf_6.png,1523,777,205,341,table
page_NPFOO_MSFO_23Q4.pdf_22.png,1385,1271,220,1517,table
page_MRTFN_MSFO_23Q4.pdf_22.png,1559,446,205,721,table
page_NPFOO_MSFO_23Q4.pdf_8.png,1512,854,230,473,table
page_AVAGR_MSFO_23Q4.pdf_11.png,1464,1085,242,246,table
page_ROSMP_MSFO_23Q4.pdf_38.png,1584,2096,219,1843,table
page_GTLKA_MSFO_23Q4.pdf_12.png,1547,1333,240,1565,table
page_SSCAP_MSFO_23Q4.pdf_25.png,1524,1210,225,1469,table
page_DELPT_MSFO_23Q4.pdf_8.png,1515,1890,143,232,table
page_CPPCO_MSFO_23Q4.pdf_9.png,146,229,1509,1735,table
page_PRAVO_MSFO_23Q4.pdf_10.png,1552,734,185,264,table
page_PRAVO_MSFO_23Q4.pdf_29.png,1543,292,161,579,table
page_MAXTL_MSFO_23Q4.pdf_7.png,1529,324,190,1182,table
page_TRKHD_MSFO_23Q4.pdf_62.png,1442,1789,190,1497,table
page_YUVLT_MSFO_23Q4.pdf_31.png,1522,1972,289,1410,table
page_SELTL_MSFO_23Q3.pdf_7.png,2193,351,188,1201,table
page_IEKHL_MSFO_23Q4.pdf_60.png,236,2031,1495,1082,table
page_AERFL_MSFO_23Q4.pdf_23.png,1526,1764,197,1479,table
page_APRIO_MSFO_24Q1.pdf_15.png,1562,925,119,524,table
page_PMINT_MSFO_23Q4.pdf_45.png,1513,2062,213,1776,table
page_LIZTR_MSFO_23Q4.pdf_8.png,1394,1818,213,1136,table
page_UNIBK_MSFO_23Q3.pdf_2.png,1543,2134,86,504,table
page_BINGR_MSFO_23Q4.pdf_35.png,1504,1201,253,1081,table
page_ATENC_MSFO_24Q1.pdf_38.png,212,356,1431,1096,table
page_RFBIN_MSFO_23Q3.pdf_43.png,1447,879,212,527,table
page_PRKNT_MSFO_23Q4.pdf_47.png,144,969,1533,1342,table
page_ASPDK_MSFO_23Q4.pdf_9.png,1475,1499,179,898,table
page_DOMRB_MSFO_23Q3.pdf_25.png,1530,1740,209,1128,table
page_ELLZN_MSFO_23Q3.pdf_30.png,1481,1256,225,2109,table
page_IEKHL_MSFO_23Q4.pdf_48.png,1235,1795,245,636,table
page_ARAGN_MSFO_23Q4.pdf_33.png,206,1985,1507,2084,table
page_TRCKO_MSFO_23Q4.pdf_9.png,213,228,1535,2111,table
page_SELTL_MSFO_23Q4.pdf_60.png,1502,1328,252,1769,table
page_AVAGR_MSFO_23Q4.pdf_41.png,1447,995,223,405,table
page_GTLKA_MSFO_23Q4.pdf_48.png,239,441,1530,903,table
page_TRKON_MSFO_24Q1.pdf_5.png,2131,1124,151,409,table
page_CEEFP_MSFO_23Q4.pdf_32.png,1511,1061,294,868,table
page_LIZTR_MSFO_23Q4.pdf_89.png,196,356,2216,1039,table
page_BINGR_MSFO_23Q4.pdf_53.png,1507,1243,249,1593,table
page_GKPIN_MSFO_23Q4.pdf_33.png,255,832,2105,1312,table
page_TIONE_MSFO_23Q4.pdf_32.png,1537,667,206,439,table
page_BALIZ_MSFO_23Q4.pdf_27.png,1538,1186,245,898,table
page_ELLZN_MSFO_23Q3.pdf_26.png,221,1027,1481,1786,table
page_ASTDN_MSFO_23Q4.pdf_52.png,1508,618,255,795,table
page_RSBNK_MSFO_23Q3.pdf_22.png,195,1031,1514,855,table
page_FCKCO_MSFO_23Q3.pdf_37.png,1534,1649,195,1360,table
page_BRSDD_MSFO_23Q4.pdf_26.png,1435,331,205,1070,table
page_QIVFN_MSFO_23Q4.pdf_26.png,1541,1043,236,1972,table
page_DOMRF_MSFO_23Q4.pdf_46.png,1532,1134,207,778,table
page_ELSTR_MSFO_23Q4.pdf_32.png,1469,1424,186,1082,table
page_AERFL_MSFO_23Q4.pdf_23.png,1533,1374,189,1130,table
